"target","actual","error","iq","elapsed"
"200000","192000","8000","212","449959"
"200000","193500","6500","209","449979"
"200000","192000","8000","220","449999"
"200000","193500","6500","216","450019"
"200000","195000","5000","211","450039"
"200000","196500","3500","206","450059"
"200000","195000","5000","217","450079"
"200000","196500","3500","211","450099"
"200000","196500","3500","213","450119"
"200000","195000","5000","223","450139"
"200000","196500","3500","217","450159"
"200000","198000","2000","211","450179"
"200000","198000","2000","212","450199"
"200000","198000","2000","213","450219"
"200000","198000","2000","215","450239"
"200000","198000","2000","216","450259"
"200000","199500","500","209","450279"
"200000","198000","2000","218","450299"
"200000","199500","500","211","450319"
"200000","198000","2000","219","450339"
"200000","198000","2000","220","450359"
"200000","199500","500","213","450379"
"200000","199500","500","213","450399"
"200000","199500","500","214","450419"
"200000","199500","500","214","450439"
"200000","201000","-1000","207","450459"
"200000","198000","2000","222","450479"
"200000","199500","500","215","450499"
"200000","199500","500","215","450519"
"200000","198000","2000","223","450539"
"200000","199500","500","216","450559"
"200000","199500","500","217","450579"
"200000","199500","500","217","450599"
"200000","199500","500","217","450619"
"200000","199500","500","217","450639"
"200000","199500","500","217","450659"
"200000","201000","-1000","210","450679"
"200000","201000","-1000","210","450699"
"200000","201000","-1000","210","450719"
"200000","199500","500","218","450739"
"200000","201000","-1000","210","450759"
"200000","199500","500","218","450779"
"200000","201000","-1000","210","450799"
"200000","199500","500","218","450819"
"200000","199500","500","218","450839"
"200000","199500","500","218","450859"
"200000","199500","500","218","450879"
"200000","199500","500","218","450899"
"200000","199500","500","218","450919"
"200000","201000","-1000","211","450939"
"200000","199500","500","219","450959"
"200000","199500","500","219","450979"
"200000","199500","500","219","450999"
"200000","199500","500","219","451019"
"200000","199500","500","218","451039"
"200000","199500","500","218","451059"
"200000","199500","500","218","451079"
"200000","199500","500","218","451099"
"200000","201000","-1000","211","451119"
"200000","199500","500","218","451139"
"200000","201000","-1000","211","451159"
"200000","199500","500","218","451179"
"200000","199500","500","218","451199"
"200000","201000","-1000","211","451219"
"158800","168000","-9200","165","451239"
"121800","130500","-8700","164","451259"
"93400","100500","-7100","168","451279"
"71400","76500","-5100","175","451299"
"54400","55500","-1100","192","451319"
"41200","39000","2200","205","451339"
"29800","37500","-7700","151","451359"
"22400","30000","-7600","151","451379"
"15400","22500","-7100","148","451399"
"12000","10500","1500","190","451419"
"8800","10500","-1700","173","451439"
"5000","9000","-4000","158","451459"
"1800","9000","-7200","137","451479"
"0","7500","-7500","133","451499"
"-1200","4500","-5700","139","451519"
"-1400","1500","-2900","151","451539"
"-1400","0","-1400","158","451559"
"-1600","0","-1600","156","451579"
"-1600","0","-1600","155","451599"
"-1600","0","-1600","154","451619"
"-1600","0","-1600","153","451639"
"-1600","0","-1600","153","451659"
"-1600","0","-1600","152","451679"
"-1600","0","-1600","151","451699"
"-1600","0","-1600","150","451719"
"-1600","0","-1600","149","451739"
"-1600","0","-1600","149","451759"
"-1600","0","-1600","148","451779"
"-1600","0","-1600","147","451799"
"-1600","0","-1600","146","451819"
"-1600","0","-1600","145","451839"
"-1600","0","-1600","145","451859"
"-1600","0","-1600","144","451879"
"-1600","0","-1600","143","451899"
"-1600","0","-1600","142","451919"
"-1600","0","-1600","141","451939"
"-1600","0","-1600","141","451959"
"-1600","0","-1600","140","451979"
"-1600","0","-1600","139","451999"
"-1600","0","-1600","138","452019"
"-1600","0","-1600","137","452039"
"-1600","0","-1600","137","452059"
"-1600","0","-1600","136","452079"
"-1600","0","-1600","135","452099"
"-1600","0","-1600","134","452119"
"-1600","0","-1600","133","452139"
"-1600","0","-1600","133","452159"
"-1600","0","-1600","132","452179"
"-1600","0","-1600","131","452199"
"-1600","0","-1600","130","452219"
"-1400","0","-1400","131","452239"
"-1600","1500","-3100","121","452259"
"-1600","1500","-3100","121","452279"
"-1600","1500","-3100","120","452299"
"-1600","1500","-3100","119","452319"
"-1600","1500","-3100","119","452339"
"-1600","1500","-3100","118","452359"
"-1600","1500","-3100","117","452379"
"-1600","1500","-3100","116","452399"
"-1600","1500","-3100","116","452419"
"-1400","0","-1400","123","452439"
"-1400","0","-1400","123","452459"
"-1400","0","-1400","122","452479"
"-1400","0","-1400","121","452499"
"-1400","0","-1400","121","452519"
"-1400","0","-1400","120","452539"
"-1400","0","-1400","119","452559"
"-1400","0","-1400","119","452579"
"-1400","0","-1400","118","452599"
"-1400","0","-1400","117","452619"
"-1400","0","-1400","117","452639"
"-1400","0","-1400","116","452659"
"-1400","0","-1400","115","452679"
"-1400","0","-1400","114","452699"
"-1400","0","-1400","114","452719"
"-1400","0","-1400","113","452739"
"-1400","0","-1400","112","452759"
"-1400","0","-1400","112","452779"
"-1400","0","-1400","111","452799"
"-1400","0","-1400","110","452819"
"-1400","0","-1400","110","452839"
"-1400","0","-1400","109","452859"
"-1400","0","-1400","108","452879"
"-1400","0","-1400","107","452899"
"-1400","0","-1400","107","452919"
"-1400","0","-1400","106","452939"
"-1400","0","-1400","105","452959"
"-1400","0","-1400","105","452979"
"-1400","0","-1400","104","452999"
"-1400","0","-1400","103","453019"
"-1400","0","-1400","103","453039"
"-1400","0","-1400","102","453059"
"-1400","0","-1400","101","453079"
"-1400","0","-1400","100","453099"
"-1400","0","-1400","100","453119"
"-1400","0","-1400","99","453139"
"-1400","0","-1400","98","453159"
"-1400","0","-1400","98","453179"
"-1400","0","-1400","97","453199"
"-1400","0","-1400","96","453219"
"-1400","0","-1400","96","453239"
"-1400","0","-1400","95","453259"
"-1400","0","-1400","94","453279"
"-1400","0","-1400","93","453299"
"-1400","0","-1400","93","453319"
"-1400","0","-1400","92","453339"
"-1400","0","-1400","91","453359"
"-1400","0","-1400","91","453379"
"-1400","0","-1400","90","453399"
"-1400","0","-1400","89","453419"
"-1400","0","-1400","89","453439"
"-1400","0","-1400","88","453459"
"-1400","0","-1400","87","453479"
"-1400","0","-1400","86","453499"
"-1400","0","-1400","86","453519"
"-1400","0","-1400","85","453539"
"-1400","0","-1400","84","453559"
"-1400","0","-1400","84","453579"
"-1400","0","-1400","83","453599"
"-1400","0","-1400","82","453619"
"-1400","0","-1400","82","453639"
"-1400","0","-1400","81","453659"
"-1400","0","-1400","80","453679"
"-1400","0","-1400","79","453699"
"-1400","0","-1400","79","453719"
"-1400","0","-1400","78","453739"
"-1400","0","-1400","77","453759"
"-1400","0","-1400","77","453779"
"-1400","0","-1400","76","453799"
"-1400","0","-1400","75","453819"
"-1400","0","-1400","75","453839"
"-1400","0","-1400","74","453859"
"-1400","0","-1400","73","453879"
"-1400","0","-1400","72","453899"
"-1400","0","-1400","72","453919"
"-1400","0","-1400","71","453939"
"-1400","0","-1400","70","453959"
"-1400","0","-1400","70","453979"
"-1400","0","-1400","69","453999"
"-1400","0","-1400","68","454019"
"-1400","0","-1400","68","454039"
"-1400","0","-1400","67","454059"
"-1400","0","-1400","66","454079"
"-1400","0","-1400","65","454099"
"-1400","0","-1400","65","454119"
"-1400","0","-1400","64","454139"
"-1400","0","-1400","63","454159"
"-1400","0","-1400","63","454179"
"-1400","0","-1400","62","454199"
"-1400","0","-1400","61","454219"
"-1400","0","-1400","61","454239"
"-1400","0","-1400","60","454259"
"-1400","0","-1400","59","454279"
"-1400","0","-1400","58","454299"
"-1400","0","-1400","58","454319"
"-1400","0","-1400","57","454339"
"-1400","0","-1400","56","454359"
"-1400","0","-1400","56","454379"
"-1400","0","-1400","55","454399"
"-1400","0","-1400","54","454419"
"-1400","0","-1400","54","454439"
"-1400","0","-1400","53","454459"
"-1200","-1500","300","61","454479"
"-1200","-1500","300","60","454499"
"-1200","-1500","300","60","454519"
"-1200","-1500","300","59","454539"
"-1200","0","-1200","51","454559"
"-1200","0","-1200","50","454579"
"-1200","0","-1200","50","454599"
"-1200","0","-1200","49","454619"
"-1200","0","-1200","49","454639"
"-1200","0","-1200","48","454659"
"-1200","0","-1200","47","454679"
"-1200","0","-1200","47","454699"
"-1200","0","-1200","46","454719"
"-1200","0","-1200","46","454739"
"-1200","0","-1200","45","454759"
"-1200","0","-1200","44","454779"
"-1200","0","-1200","44","454799"
"-1200","0","-1200","43","454819"
"-1200","0","-1200","43","454839"
"-1200","0","-1200","42","454859"
"-1200","0","-1200","41","454879"
"-1200","0","-1200","41","454899"
"-1200","0","-1200","40","454919"
"-1200","0","-1200","40","454939"
"-1200","0","-1200","39","454959"
"-1200","0","-1200","38","454979"
"-1200","0","-1200","38","454999"
"-1200","0","-1200","37","455019"
"-1200","0","-1200","37","455039"
"-1200","0","-1200","36","455059"
"-1200","0","-1200","35","455079"
"-1200","0","-1200","35","455099"
"-1200","0","-1200","34","455119"
"-1200","0","-1200","34","455139"
"-1200","0","-1200","33","455159"
"-1200","0","-1200","32","455179"
"-1200","0","-1200","32","455199"
"-1200","0","-1200","31","455219"
"-1200","0","-1200","31","455239"
"-1200","0","-1200","30","455259"
"-1200","0","-1200","29","455279"
"-1200","0","-1200","29","455299"
"-1200","0","-1200","28","455319"
"-1200","0","-1200","28","455339"
"-1200","0","-1200","27","455359"
"-1200","0","-1200","26","455379"
"-1200","0","-1200","26","455399"
"-1200","0","-1200","25","455419"
"-1200","0","-1200","25","455439"
"-1200","0","-1200","24","455459"
"-1200","0","-1200","23","455479"
"-1200","0","-1200","23","455499"
"-1200","0","-1200","22","455519"
"-1200","0","-1200","22","455539"
"-1200","0","-1200","21","455559"
"-1200","0","-1200","20","455579"
"-1200","0","-1200","20","455599"
"-1200","0","-1200","19","455619"
"-1200","0","-1200","19","455639"
"-1200","0","-1200","18","455659"
"-1200","0","-1200","17","455679"
"-1200","0","-1200","17","455699"
"-1200","0","-1200","16","455719"
"-1200","0","-1200","16","455739"
"-1200","0","-1200","15","455759"
"-1200","0","-1200","14","455779"
"-1200","0","-1200","14","455799"
"-1200","0","-1200","13","455819"
"-1200","0","-1200","13","455839"
"-1200","0","-1200","12","455859"
"-1200","0","-1200","11","455879"
"-1200","0","-1200","11","455899"
"-1200","0","-1200","10","455919"
"-1200","0","-1200","10","455939"
"-1200","0","-1200","9","455959"
