"target","actual","error","p","i","iq","elapsed"
"100000","55500","44500","223","-46","177","574960"
"100000","57000","43000","215","-26","189","574980"
"100000","60000","40000","200","-7","193","575000"
"100000","63000","37000","185","10","195","575020"
"100000","67500","32500","163","26","189","575040"
"100000","73500","26500","133","41","173","575060"
"100000","76500","23500","118","53","171","575080"
"100000","76500","23500","118","65","183","575100"
"100000","78000","22000","110","76","186","575120"
"100000","84000","16000","80","86","166","575140"
"100000","82500","17500","88","95","182","575160"
"100000","84000","16000","80","103","183","575180"
"100000","87000","13000","65","111","176","575200"
"100000","85500","14500","73","117","190","575220"
"100000","90000","10000","50","124","174","575240"
"100000","88500","11500","58","129","187","575260"
"100000","90000","10000","50","134","184","575280"
"100000","90000","10000","50","139","189","575300"
"100000","91500","8500","43","143","186","575320"
"100000","90000","10000","50","147","197","575340"
"100000","93000","7000","35","150","185","575360"
"100000","94500","5500","28","154","181","575380"
"100000","94500","5500","28","156","184","575400"
"100000","96000","4000","20","159","179","575420"
"100000","93000","7000","35","161","196","575440"
"100000","97500","2500","13","163","176","575460"
"100000","96000","4000","20","166","186","575480"
"100000","96000","4000","20","167","187","575500"
"100000","97500","2500","13","169","181","575520"
"87150","87000","150","1","169","169","575540"
"71700","73500","-1800","-9","168","159","575560"
"58950","64500","-5550","-28","168","140","575580"
"48600","55500","-6900","-35","168","133","575600"
"40350","39000","1350","7","168","175","575620"
"33000","30000","3000","15","166","181","575640"
"27000","34500","-7500","-38","167","129","575660"
"21900","19500","2400","12","164","176","575680"
"18750","15000","3750","19","166","185","575700"
"14400","19500","-5100","-26","164","138","575720"
"10950","15000","-4050","-20","160","140","575740"
"9750","6000","3750","19","162","181","575760"
"8400","6000","2400","12","163","175","575780"
"7350","6000","1350","7","164","171","575800"
"5400","12000","-6600","-33","163","130","575820"
"3900","7500","-3600","-18","161","143","575840"
"2100","7500","-5400","-27","158","131","575860"
"1050","4500","-3450","-17","156","139","575880"
"-300","6000","-6300","-32","153","122","575900"
"-600","0","-600","-3","151","148","575920"
"-750","0","-750","-4","151","147","575940"
"-750","0","-750","-4","150","147","575960"
"-900","1500","-2400","-12","150","138","575980"
"-900","0","-900","-5","149","145","576000"
"-900","0","-900","-5","149","144","576020"
"-900","0","-900","-5","148","144","576040"
"-900","0","-900","-5","148","143","576060"
"-900","0","-900","-5","147","143","576080"
"-900","0","-900","-5","147","142","576100"
"-900","0","-900","-5","146","142","576120"
"-900","0","-900","-5","146","142","576140"
"-900","0","-900","-5","146","141","576160"
"-900","0","-900","-5","145","141","576180"
"-900","0","-900","-5","145","140","576200"
"-900","0","-900","-5","144","140","576220"
"-900","0","-900","-5","144","139","576240"
"-900","0","-900","-5","143","139","576260"
"-900","0","-900","-5","143","138","576280"
"-900","0","-900","-5","143","138","576300"
"-900","0","-900","-5","142","138","576320"
"-900","0","-900","-5","142","137","576340"
"-900","0","-900","-5","141","137","576360"
"-900","0","-900","-5","141","136","576380"
"-900","0","-900","-5","140","136","576400"
"-900","0","-900","-5","140","135","576420"
"-900","0","-900","-5","139","135","576440"
"-900","0","-900","-5","139","135","576460"
"-900","0","-900","-5","139","134","576480"
"-900","0","-900","-5","138","134","576500"
"-900","0","-900","-5","138","133","576520"
"-900","0","-900","-5","137","133","576540"
"-900","0","-900","-5","137","132","576560"
"-900","0","-900","-5","136","132","576580"
"-900","0","-900","-5","136","131","576600"
"-900","0","-900","-5","135","131","576620"
"-900","0","-900","-5","135","131","576640"
"-900","0","-900","-5","135","130","576660"
"-900","0","-900","-5","134","130","576680"
"-900","0","-900","-5","134","129","576700"
"-900","0","-900","-5","133","129","576720"
"-900","0","-900","-5","133","128","576740"
"-900","0","-900","-5","132","128","576760"
"-900","0","-900","-5","132","127","576780"
"-900","0","-900","-5","132","127","576800"
"-900","0","-900","-5","131","127","576820"
"-900","0","-900","-5","131","126","576840"
