"target","actual","error","iq","elapsed"
"89700","73500","16200","102","20"
"68700","54000","14700","106","40"
"55200","39000","16200","127","60"
"44400","22500","21900","164","80"
"38100","16500","21600","175","100"
"30600","16500","14100","145","120"
"24600","12000","12600","143","140"
"21600","4500","17100","172","160"
"20100","3000","17100","181","180"
"18900","3000","15900","183","200"
"17100","4500","12600","173","220"
"15600","3000","12600","179","240"
"13500","6000","7500","159","260"
"9600","10500","-900","118","280"
"8100","4500","3600","143","300"
"6000","6000","0","126","320"
"3900","3000","900","130","340"
"3300","1500","1800","135","360"
"3000","0","3000","142","380"
"2700","0","2700","141","400"
"2400","0","2400","141","420"
"2100","0","2100","140","440"
"1800","1500","300","132","460"
"1800","0","1800","140","480"
"1500","0","1500","139","500"
"1200","0","1200","138","520"
"900","0","900","136","540"
"600","0","600","135","560"
"300","0","300","133","580"
"300","0","300","133","600"
"0","0","0","131","620"
"0","0","0","131","640"
"-300","0","-300","129","660"
"-300","0","-300","129","680"
"-300","0","-300","129","700"
"-300","0","-300","129","720"
"-300","0","-300","129","740"
"-600","0","-600","127","760"
"-600","0","-600","126","780"
"-600","0","-600","126","800"
"-600","0","-600","126","820"
"-600","0","-600","125","840"
"-600","0","-600","125","860"
"-600","0","-600","125","880"
"-600","0","-600","125","900"
"-600","0","-600","124","920"
"-600","0","-600","124","940"
"-600","0","-600","124","960"
"-600","0","-600","123","980"
"-600","0","-600","123","1000"
"-600","0","-600","123","1020"
"-600","0","-600","122","1040"
"-600","0","-600","122","1060"
"-600","0","-600","122","1080"
"-600","0","-600","122","1100"
"-600","0","-600","121","1120"
"-600","0","-600","121","1140"
"-600","0","-600","121","1160"
"-600","0","-600","120","1180"
"-600","0","-600","120","1200"
"-600","0","-600","120","1220"
"-600","0","-600","119","1240"
"-600","0","-600","119","1260"
"-600","0","-600","119","1280"
"-600","0","-600","119","1300"
"-600","0","-600","118","1320"
"-600","0","-600","118","1340"
"-600","0","-600","118","1360"
"-600","0","-600","117","1380"
"-600","0","-600","117","1400"
"-600","0","-600","117","1420"
"-600","0","-600","116","1440"
"-600","0","-600","116","1460"
"-600","0","-600","116","1480"
"-600","0","-600","116","1500"
"-600","0","-600","115","1520"
"-600","0","-600","115","1540"
"-600","0","-600","115","1560"
"-600","0","-600","114","1580"
"-600","0","-600","114","1600"
"-600","0","-600","114","1620"
"-600","0","-600","113","1640"
"-600","0","-600","113","1660"
"-600","0","-600","113","1680"
"-600","0","-600","113","1700"
"-600","0","-600","112","1720"
"-600","0","-600","112","1740"
"-600","0","-600","112","1760"
"-600","0","-600","111","1780"
"-600","0","-600","111","1800"
"-600","0","-600","111","1820"
"-600","0","-600","110","1840"
"-600","0","-600","110","1860"
"-600","0","-600","110","1880"
"-600","0","-600","110","1900"
"-600","0","-600","109","1920"
"-600","0","-600","109","1940"
"-600","0","-600","109","1960"
"-600","0","-600","108","1980"
"-600","0","-600","108","2000"
"-600","0","-600","108","2020"
"-600","0","-600","107","2040"
"-600","0","-600","107","2060"
"-600","0","-600","107","2080"
"-600","0","-600","107","2100"
"-600","0","-600","106","2120"
"-600","0","-600","106","2140"
"-600","0","-600","106","2160"
"-600","0","-600","105","2180"
"-600","0","-600","105","2200"
"-600","0","-600","105","2220"
"-600","0","-600","104","2240"
"-600","0","-600","104","2260"
"-600","0","-600","104","2280"
"-600","0","-600","104","2300"
"-600","0","-600","103","2320"
"-600","0","-600","103","2340"
"-600","0","-600","103","2360"
"-600","0","-600","102","2380"
"-600","0","-600","102","2400"
"-600","0","-600","102","2420"
"-600","0","-600","101","2440"
"-600","0","-600","101","2460"
"-600","0","-600","101","2480"
"-600","0","-600","101","2500"
"-600","0","-600","100","2520"
"-600","0","-600","100","2540"
"-600","0","-600","100","2560"
"-600","0","-600","99","2580"
"-600","1500","-2100","92","2600"
"-600","1500","-2100","92","2620"
"-600","1500","-2100","91","2640"
"-300","0","-300","100","2660"
"-300","-1500","1200","107","2680"
"-300","-1500","1200","107","2700"
"-300","-1500","1200","107","2720"
"-300","-1500","1200","107","2740"
"-300","-1500","1200","107","2760"
"-600","1500","-2100","90","2780"
"-600","1500","-2100","90","2800"
"-600","1500","-2100","89","2820"
"-600","1500","-2100","89","2840"
"-600","1500","-2100","89","2860"
"-300","0","-300","98","2880"
"-300","-1500","1200","105","2900"
"-300","-1500","1200","105","2920"
"-300","-1500","1200","105","2940"
"-600","1500","-2100","88","2960"
"-600","1500","-2100","88","2980"
"-600","1500","-2100","88","3000"
"-600","1500","-2100","87","3020"
"-300","0","-300","96","3040"
"-300","-1500","1200","104","3060"
"-300","-1500","1200","103","3080"
"-300","-1500","1200","103","3100"
"-300","0","-300","95","3120"
"-600","1500","-2100","86","3140"
"-600","1500","-2100","86","3160"
"-600","1500","-2100","86","3180"
"-300","0","-300","95","3200"
"-300","0","-300","94","3220"
"-300","-1500","1200","102","3240"
"-300","-1500","1200","102","3260"
"-300","0","-300","94","3280"
"-300","0","-300","94","3300"
"-300","0","-300","94","3320"
"-300","0","-300","94","3340"
"-300","0","-300","93","3360"
"-300","0","-300","93","3380"
"-300","0","-300","93","3400"
"-300","0","-300","93","3420"
"-300","0","-300","93","3440"
"-300","0","-300","93","3460"
"-300","0","-300","93","3480"
"-300","0","-300","92","3500"
"-300","0","-300","92","3520"
