"target","actual","error","iq","elapsed"
"100000","81000","19000","117","20"
"84400","73500","10900","89","40"
"59600","45000","14600","117","60"
"46000","27000","19000","151","80"
"34400","19500","14900","138","100"
"28000","7500","20500","174","120"
"24800","6000","18800","176","140"
"22000","4500","17500","178","160"
"19600","4500","15100","175","180"
"14800","12000","2800","118","200"
"12000","4500","7500","145","220"
"10400","3000","7400","148","240"
"7600","4500","3100","129","260"
"6000","1500","4500","137","280"
"5200","1500","3700","135","300"
"4800","0","4800","142","320"
"4400","0","4400","142","340"
"3600","1500","2100","132","360"
"3200","1500","1700","132","380"
"2800","1500","1300","131","400"
"2400","0","2400","137","420"
"1600","1500","100","126","440"
"1200","0","1200","131","460"
"800","0","800","130","480"
"400","1500","-1100","120","500"
"0","1500","-1500","118","520"
"0","0","0","125","540"
"0","0","0","125","560"
"-400","0","-400","123","580"
"-400","0","-400","122","600"
"-400","0","-400","122","620"
"-400","0","-400","122","640"
"-400","0","-400","122","660"
"-400","0","-400","122","680"
"-400","0","-400","121","700"
"-400","0","-400","121","720"
"-400","0","-400","121","740"
"-400","0","-400","121","760"
"-400","0","-400","121","780"
"-400","0","-400","120","800"
"-400","0","-400","120","820"
"-400","0","-400","120","840"
"-400","0","-400","120","860"
"-400","0","-400","120","880"
"-400","0","-400","119","900"
"-400","0","-400","119","920"
"-400","0","-400","119","940"
"-400","0","-400","119","960"
"-400","0","-400","119","980"
"-400","0","-400","118","1000"
"-400","0","-400","118","1020"
"-400","0","-400","118","1040"
"-400","0","-400","118","1060"
"-400","0","-400","118","1080"
"-400","0","-400","117","1100"
"-400","0","-400","117","1120"
"-400","0","-400","117","1140"
"-400","0","-400","117","1160"
"-400","0","-400","117","1180"
"-400","0","-400","116","1200"
"-400","0","-400","116","1220"
"-400","0","-400","116","1240"
"-400","0","-400","116","1260"
"-400","0","-400","116","1280"
"-400","0","-400","115","1300"
"-400","0","-400","115","1320"
"-400","0","-400","115","1340"
"-400","0","-400","115","1360"
"-400","0","-400","115","1380"
"-400","0","-400","114","1400"
"-400","0","-400","114","1420"
"-400","0","-400","114","1440"
"-400","0","-400","114","1460"
"-400","0","-400","114","1480"
"-400","0","-400","113","1500"
"-400","0","-400","113","1520"
"-400","0","-400","113","1540"
"-400","0","-400","113","1560"
"-400","0","-400","113","1580"
"-400","0","-400","112","1600"
"-400","0","-400","112","1620"
"-400","0","-400","112","1640"
"-400","0","-400","112","1660"
"-400","0","-400","112","1680"
"-400","0","-400","111","1700"
"-400","0","-400","111","1720"
"-400","0","-400","111","1740"
"-400","0","-400","111","1760"
"-400","0","-400","111","1780"
"-400","0","-400","110","1800"
"-400","0","-400","110","1820"
"-400","0","-400","110","1840"
"-400","0","-400","110","1860"
"-400","0","-400","110","1880"
"-400","0","-400","109","1900"
"-400","0","-400","109","1920"
"-400","0","-400","109","1940"
"-400","0","-400","109","1960"
"-400","0","-400","109","1980"
"-400","0","-400","108","2000"
"-400","0","-400","108","2020"
"-400","0","-400","108","2040"
"-400","0","-400","108","2060"
"-400","0","-400","108","2080"
"-400","0","-400","107","2100"
"-400","0","-400","107","2120"
"-400","0","-400","107","2140"
"-400","0","-400","107","2160"
"-400","0","-400","107","2180"
"-400","0","-400","106","2200"
"-400","0","-400","106","2220"
"-400","0","-400","106","2240"
"-400","0","-400","106","2260"
"-400","0","-400","106","2280"
"-400","0","-400","105","2300"
"-400","0","-400","105","2320"
"-400","0","-400","105","2340"
"-400","0","-400","105","2360"
"-400","0","-400","105","2380"
"-400","0","-400","104","2400"
"-400","0","-400","104","2420"
"-400","0","-400","104","2440"
"-400","0","-400","104","2460"
"-400","0","-400","104","2480"
"-400","0","-400","103","2500"
"-400","0","-400","103","2520"
"-400","0","-400","103","2540"
"-400","0","-400","103","2560"
"-400","0","-400","103","2580"
"-400","0","-400","102","2600"
"-400","0","-400","102","2620"
"-400","0","-400","102","2640"
"-400","0","-400","102","2660"
"-400","0","-400","102","2680"
"-400","0","-400","101","2700"
"-400","0","-400","101","2720"
"-400","0","-400","101","2740"
"-400","0","-400","101","2760"
"-400","0","-400","101","2780"
"-400","0","-400","100","2800"
"-400","0","-400","100","2820"
"-400","0","-400","100","2840"
"-400","0","-400","100","2860"
"-400","0","-400","100","2880"
"-400","0","-400","99","2900"
"-400","0","-400","99","2920"
"-400","0","-400","99","2940"
"-400","0","-400","99","2960"
"-400","0","-400","99","2980"
"-400","0","-400","98","3000"
"-400","0","-400","98","3020"
"-400","0","-400","98","3040"
"-400","0","-400","98","3060"
"-400","0","-400","98","3080"
"-400","0","-400","97","3100"
"-400","0","-400","97","3120"
"-400","0","-400","97","3140"
"-400","0","-400","97","3160"
"-400","0","-400","97","3180"
"-400","0","-400","96","3200"
"-400","0","-400","96","3220"
"-400","0","-400","96","3240"
"-400","0","-400","96","3260"
"-400","0","-400","96","3280"
"-400","0","-400","95","3300"
"-400","0","-400","95","3320"
"-400","0","-400","95","3340"
"-400","0","-400","95","3360"
"-400","0","-400","95","3380"
"-400","0","-400","94","3400"
"-400","0","-400","94","3420"
"-400","0","-400","94","3440"
"-400","0","-400","94","3460"
"-400","0","-400","94","3480"
"-400","0","-400","93","3500"
"-400","0","-400","93","3520"
