"target","actual","error","iq","elapsed"
"200000","178500","21500","173","61693"
"200000","181500","18500","171","61713"
"200000","178500","21500","198","61733"
"200000","180000","20000","202","61753"
"200000","180000","20000","212","61773"
"200000","183000","17000","206","61793"
"200000","183000","17000","215","61813"
"200000","184500","15500","216","61833"
"200000","186000","14000","215","61853"
"200000","187500","12500","214","61873"
"200000","187500","12500","220","61893"
"200000","189000","11000","218","61913"
"200000","190500","9500","216","61933"
"200000","192000","8000","213","61953"
"200000","192000","8000","217","61973"
"200000","192000","8000","220","61993"
"200000","193500","6500","216","62013"
"200000","195000","5000","211","62033"
"200000","196500","3500","207","62053"
"200000","195000","5000","216","62073"
"200000","195000","5000","219","62093"
"200000","196500","3500","213","62113"
"200000","196500","3500","215","62133"
"200000","196500","3500","217","62153"
"200000","196500","3500","219","62173"
"200000","198000","2000","213","62193"
"200000","198000","2000","214","62213"
"200000","196500","3500","223","62233"
"200000","196500","3500","224","62253"
"200000","199500","500","210","62273"
"200000","198000","2000","218","62293"
"200000","198000","2000","219","62313"
"200000","199500","500","212","62333"
"200000","199500","500","212","62353"
"200000","199500","500","213","62373"
"200000","199500","500","213","62393"
"200000","198000","2000","221","62413"
"200000","199500","500","214","62433"
"200000","199500","500","215","62453"
"200000","199500","500","215","62473"
"200000","199500","500","215","62493"
"200000","199500","500","216","62513"
"200000","199500","500","216","62533"
"200000","198000","2000","224","62553"
"200000","199500","500","217","62573"
"200000","199500","500","217","62593"
"200000","199500","500","217","62613"
"200000","199500","500","217","62633"
"200000","201000","-1000","210","62653"
"200000","199500","500","217","62673"
"200000","201000","-1000","210","62693"
"200000","199500","500","218","62713"
"200000","201000","-1000","210","62733"
"200000","199500","500","218","62753"
"200000","199500","500","218","62773"
"200000","199500","500","218","62793"
"200000","199500","500","218","62813"
"200000","199500","500","218","62833"
"200000","199500","500","218","62853"
"200000","199500","500","219","62873"
"200000","199500","500","219","62893"
"200000","199500","500","218","62913"
"200000","199500","500","218","62933"
"200000","201000","-1000","211","62953"
"200000","201000","-1000","211","62973"
"200000","201000","-1000","211","62993"
"200000","199500","500","218","63013"
"200000","198000","2000","226","63033"
"200000","199500","500","218","63053"
"200000","201000","-1000","211","63073"
"200000","199500","500","218","63093"
"200000","199500","500","218","63113"
"200000","199500","500","219","63133"
"200000","201000","-1000","211","63153"
"200000","201000","-1000","211","63173"
"200000","199500","500","219","63193"
"200000","199500","500","219","63213"
"200000","201000","-1000","211","63233"
"200000","199500","500","218","63253"
"200000","199500","500","218","63273"
"200000","201000","-1000","211","63293"
"200000","199500","500","218","63313"
"200000","201000","-1000","211","63333"
"200000","199500","500","219","63353"
"200000","199500","500","219","63373"
"200000","199500","500","219","63393"
"200000","199500","500","219","63413"
"200000","199500","500","219","63433"
"200000","199500","500","219","63453"
"200000","199500","500","219","63473"
"200000","201000","-1000","211","63493"
"200000","198000","2000","226","63513"
"200000","201000","-1000","211","63533"
"200000","199500","500","218","63553"
"200000","201000","-1000","211","63573"
"200000","201000","-1000","211","63593"
"200000","199500","500","218","63613"
"200000","199500","500","218","63633"
"200000","199500","500","218","63653"
"200000","201000","-1000","211","63673"
"200000","199500","500","219","63693"
"200000","199500","500","219","63713"
"200000","201000","-1000","211","63733"
"200000","199500","500","219","63753"
"200000","199500","500","219","63773"
"200000","201000","-1000","211","63793"
"200000","199500","500","219","63813"
"200000","199500","500","219","63833"
