"target","actual","error","iq","elapsed"
"-200000","-190500","-9500","-220","162754"
"-200000","-192000","-8000","-216","162774"
"-200000","-192000","-8000","-220","162794"
"-200000","-193500","-6500","-216","162814"
"-200000","-196500","-3500","-204","162834"
"-200000","-195000","-5000","-214","162854"
"-200000","-196500","-3500","-209","162874"
"-200000","-196500","-3500","-212","162894"
"-200000","-195000","-5000","-221","162914"
"-200000","-196500","-3500","-215","162934"
"-200000","-198000","-2000","-210","162954"
"-200000","-196500","-3500","-219","162974"
"-200000","-196500","-3500","-220","162994"
"-200000","-196500","-3500","-221","163014"
"-200000","-196500","-3500","-222","163034"
"-200000","-198000","-2000","-216","163054"
"-200000","-199500","-500","-209","163074"
"-200000","-198000","-2000","-218","163094"
"-200000","-198000","-2000","-218","163114"
"-200000","-199500","-500","-212","163134"
"-200000","-198000","-2000","-220","163154"
"-200000","-199500","-500","-213","163174"
"-200000","-199500","-500","-213","163194"
"-200000","-199500","-500","-214","163214"
"-200000","-199500","-500","-214","163234"
"-200000","-199500","-500","-215","163254"
"-200000","-199500","-500","-215","163274"
"-200000","-199500","-500","-216","163294"
"-200000","-199500","-500","-216","163314"
"-200000","-199500","-500","-216","163334"
"-200000","-199500","-500","-216","163354"
"-200000","-201000","1000","-209","163374"
"-200000","-198000","-2000","-224","163394"
"-200000","-199500","-500","-217","163414"
"-200000","-199500","-500","-217","163434"
"-200000","-199500","-500","-217","163454"
"-200000","-198000","-2000","-225","163474"
"-200000","-199500","-500","-218","163494"
"-200000","-199500","-500","-218","163514"
"-200000","-198000","-2000","-225","163534"
"-200000","-199500","-500","-218","163554"
"-200000","-201000","1000","-210","163574"
"-200000","-199500","-500","-218","163594"
"-200000","-201000","1000","-210","163614"
"-200000","-199500","-500","-218","163634"
"-200000","-199500","-500","-218","163654"
"-200000","-201000","1000","-210","163674"
"-200000","-199500","-500","-218","163694"
"-200000","-199500","-500","-218","163714"
"-200000","-201000","1000","-211","163734"
"-200000","-199500","-500","-218","163754"
"-200000","-199500","-500","-219","163774"
"-200000","-199500","-500","-219","163794"
"-200000","-201000","1000","-211","163814"
"-200000","-199500","-500","-219","163834"
"-200000","-201000","1000","-211","163854"
"-200000","-201000","1000","-211","163874"
"-200000","-199500","-500","-219","163894"
"-200000","-199500","-500","-218","163914"
"-200000","-201000","1000","-211","163934"
"-200000","-199500","-500","-218","163954"
"-200000","-201000","1000","-211","163974"
"-200000","-199500","-500","-218","163994"
"-200000","-199500","-500","-219","164014"
"-200000","-201000","1000","-211","164034"
"-200000","-199500","-500","-219","164054"
"-200000","-199500","-500","-219","164074"
"-200000","-199500","-500","-219","164094"
"-200000","-199500","-500","-219","164114"
"-200000","-199500","-500","-219","164134"
"-200000","-201000","1000","-211","164154"
"-200000","-199500","-500","-219","164174"
"-200000","-199500","-500","-218","164194"
"-200000","-201000","1000","-211","164214"
"-200000","-201000","1000","-211","164234"
"-200000","-199500","-500","-219","164254"
"-200000","-201000","1000","-211","164274"
"-200000","-199500","-500","-218","164294"
"-200000","-199500","-500","-218","164314"
"-200000","-201000","1000","-211","164334"
"-200000","-199500","-500","-219","164354"
"-200000","-199500","-500","-219","164374"
"-200000","-199500","-500","-219","164394"
"-200000","-201000","1000","-211","164414"
"-200000","-198000","-2000","-226","164434"
"-200000","-199500","-500","-219","164454"
"-200000","-199500","-500","-218","164474"
"-200000","-199500","-500","-218","164494"
